metric,rgb,rgbn,delta
mAP50,0.08809894453535348,8.37262709116329e-05,-0.08801521826444185
mAP50-95,0.05285936672121209,5.023576254697973e-05,-0.05280913095866511
precision,0.1030564802332939,0.03494176372712146,-0.06811471650617244
recall,0.8548607941579187,0.0023961661341853034,-0.8524646280237335
f1,0.18393852348334194,0.004484783769353977,-0.17945373971398795
